iter	Passed	Remaining
0	78	7762
1	158	7781
2	239	7745
3	310	7451
4	372	7072
5	454	7128
6	538	7150
7	636	7318
8	718	7268
9	798	7189
10	849	6873
11	927	6801
12	1005	6730
13	1072	6588
14	1146	6498
15	1274	6690
16	1367	6676
17	1459	6649
18	1531	6528
19	1605	6423
20	1677	6311
21	1753	6217
22	1832	6135
23	1913	6059
24	1987	5963
25	2061	5866
26	2125	5746
27	2181	5608
28	2242	5489
29	2312	5396
30	2370	5277
31	2460	5228
32	2538	5153
33	2595	5039
34	2669	4957
35	2751	4890
36	2828	4815
37	2900	4732
38	2974	4652
39	3042	4563
40	3124	4496
41	3194	4411
42	3243	4299
43	3314	4218
44	3378	4129
45	3453	4054
46	3509	3957
47	3553	3849
48	3629	3777
49	3703	3703
50	3780	3632
51	3855	3559
52	3916	3472
53	3989	3398
54	4062	3323
55	4110	3229
56	4159	3138
57	4213	3051
58	4299	2988
59	4375	2917
60	4440	2838
61	4495	2755
62	4581	2690
63	4663	2623
64	4714	2538
65	4765	2455
66	4846	2386
67	4890	2301
68	4937	2218
69	5027	2154
70	5127	2094
71	5247	2040
72	5299	1959
73	5405	1899
74	5460	1820
75	5513	1741
76	5604	1674
77	5656	1595
78	5736	1524
79	5803	1450
80	5893	1382
81	5951	1306
82	6035	1236
83	6202	1181
84	6307	1113
85	6348	1033
86	6415	958
87	6489	884
88	6559	810
89	6629	736
90	6707	663
91	6813	592
92	6947	522
93	7023	448
94	7087	373
95	7191	299
96	7293	225
97	7439	151
98	7596	76
99	7714	0
