iter	Logloss
0	0.580322174
1	0.4969832711
2	0.4338141385
3	0.3846448168
4	0.3482501294
5	0.3204297054
6	0.2993344259
7	0.2829796311
8	0.2705640324
9	0.2601360418
10	0.2524360735
11	0.2457838956
12	0.2407939281
13	0.236895513
14	0.2335659896
15	0.2310754213
16	0.2289960785
17	0.2274537848
18	0.2261395047
19	0.2250923458
20	0.2242332624
21	0.2233893337
22	0.2226787528
23	0.2220521706
24	0.2215053811
25	0.2211548407
26	0.2209710265
27	0.2208093286
28	0.2205686036
29	0.220302179
30	0.2201772032
31	0.2199943099
32	0.2198437695
33	0.2197483966
34	0.2196998013
35	0.2196045332
36	0.2195325017
37	0.2194738619
38	0.2193885199
39	0.2193199847
40	0.219298762
41	0.2192388145
42	0.2192303772
43	0.2191937411
44	0.2191841191
45	0.2191259671
46	0.2191254291
47	0.2191251808
48	0.2190754236
49	0.21904096
50	0.2189950747
51	0.2189564124
52	0.2189559723
53	0.2189189206
54	0.2188853599
55	0.2188853295
56	0.2188846618
57	0.2188845131
58	0.2188530701
59	0.2188435827
60	0.2188380954
61	0.218834014
62	0.2188155738
63	0.218806
64	0.2188028228
65	0.2188028205
66	0.2187792112
67	0.2187792092
68	0.2187786673
69	0.2187403677
70	0.2187131108
71	0.2186919368
72	0.2186917868
73	0.2186879649
74	0.2186818888
75	0.2186811503
76	0.2186426091
77	0.2186397996
78	0.218630388
79	0.2186270823
80	0.2186141652
81	0.2186104432
82	0.2186070071
83	0.2185788423
84	0.2185765632
85	0.2185765626
86	0.2185690525
87	0.2185368077
88	0.2184976981
89	0.218490739
90	0.2184852041
91	0.2184739443
92	0.2184589473
93	0.2184516901
94	0.2184496656
95	0.2184391036
96	0.2184361268
97	0.2184176041
98	0.2184016507
99	0.2183964182
