iter	Passed	Remaining
0	82	8205
1	238	11710
2	351	11352
3	413	9927
4	494	9395
5	554	8680
6	634	8423
7	738	8492
8	823	8324
9	882	7940
10	941	7615
11	990	7264
12	1052	7040
13	1134	6971
14	1207	6845
15	1292	6783
16	1364	6663
17	1437	6549
18	1511	6442
19	1585	6343
20	1661	6251
21	1737	6161
22	1812	6069
23	1898	6012
24	1995	5987
25	2064	5876
26	2111	5707
27	2215	5696
28	2360	5778
29	2480	5788
30	2553	5684
31	2626	5582
32	2701	5484
33	2776	5390
34	2849	5292
35	2920	5192
36	2998	5106
37	3073	5015
38	3145	4919
39	3219	4828
40	3292	4737
41	3372	4657
42	3449	4572
43	3529	4491
44	3604	4405
45	3686	4327
46	3760	4240
47	3843	4163
48	3905	4064
49	3981	3981
50	4072	3913
51	4150	3831
52	4235	3755
53	4312	3673
54	4375	3580
55	4427	3479
56	4483	3382
57	4529	3279
58	4586	3187
59	4659	3106
60	4742	3032
61	4801	2942
62	4880	2866
63	4961	2790
64	5027	2707
65	5106	2630
66	5181	2552
67	5227	2459
68	5313	2387
69	5406	2317
70	5492	2243
71	5578	2169
72	5658	2092
73	5748	2019
74	5828	1942
75	5876	1855
76	5923	1769
77	6002	1692
78	6069	1613
79	6121	1530
80	6190	1452
81	6266	1375
82	6412	1313
83	6473	1233
84	6589	1162
85	6744	1097
86	6830	1020
87	6956	948
88	7080	875
89	7139	793
90	7211	713
91	7292	634
92	7377	555
93	7441	474
94	7521	395
95	7609	317
96	7666	237
97	7752	158
98	7806	78
99	7893	0
