iter	Logloss
0	0.5824399607
1	0.4981344468
2	0.4329318623
3	0.3848661412
4	0.3475576606
5	0.3192055045
6	0.2978701717
7	0.2814243988
8	0.268962038
9	0.2597644748
10	0.2524686434
11	0.2452886336
12	0.2400099189
13	0.235628254
14	0.2323782587
15	0.2295258294
16	0.2272872283
17	0.2255051576
18	0.2242244402
19	0.2230949859
20	0.2220477967
21	0.2212811704
22	0.2207531759
23	0.220094996
24	0.2196083051
25	0.2193408082
26	0.2189688014
27	0.2187373722
28	0.2184163139
29	0.218171467
30	0.2180040747
31	0.217874372
32	0.2177974341
33	0.2177427179
34	0.2176665206
35	0.2175360517
36	0.2174321825
37	0.2173863857
38	0.2172953077
39	0.2172045604
40	0.2170828655
41	0.2170512249
42	0.2169765124
43	0.2169304043
44	0.2168979557
45	0.2168609348
46	0.2168139748
47	0.2167779821
48	0.2167543986
49	0.2167542453
50	0.216737958
51	0.216720188
52	0.2167093757
53	0.2166901964
54	0.216627591
55	0.2166275882
56	0.2165950873
57	0.2165950682
58	0.216595053
59	0.2165640844
60	0.2165503451
61	0.2165502524
62	0.2165458195
63	0.2165430797
64	0.2165425801
65	0.2165404623
66	0.2165131708
67	0.2165118608
68	0.2164876958
69	0.2164747682
70	0.2164651282
71	0.2164650355
72	0.2164635064
73	0.2164543292
74	0.2164455318
75	0.2164326325
76	0.2164326325
77	0.2163927459
78	0.2163832234
79	0.2163831271
80	0.2162964713
81	0.2162964713
82	0.2162556845
83	0.2162234267
84	0.216223231
85	0.2161952482
86	0.2161649137
87	0.2161622952
88	0.2161317905
89	0.21610079
90	0.21609569
91	0.2160866886
92	0.2160815178
93	0.2160794216
94	0.2160626663
95	0.21606096
96	0.2160577891
97	0.2160320287
98	0.2160305264
99	0.2160182792
