iter	Passed	Remaining
0	49	4909
1	86	4225
2	142	4614
3	175	4219
4	217	4123
5	268	4199
6	315	4194
7	353	4062
8	399	4041
9	435	3915
10	456	3696
11	503	3695
12	549	3675
13	590	3629
14	634	3595
15	691	3628
16	751	3671
17	789	3596
18	816	3480
19	876	3505
20	936	3523
21	983	3488
22	1012	3390
23	1063	3367
24	1126	3379
25	1155	3287
26	1204	3255
27	1237	3181
28	1298	3179
29	1376	3212
30	1441	3208
31	1501	3191
32	1564	3176
33	1608	3122
34	1657	3077
35	1719	3056
36	1778	3027
37	1826	2979
38	1866	2920
39	1918	2878
40	1965	2828
41	2009	2774
42	2058	2729
43	2105	2679
44	2150	2628
45	2199	2581
46	2242	2529
47	2281	2471
48	2326	2421
49	2370	2370
50	2414	2319
51	2459	2270
52	2503	2220
53	2547	2170
54	2604	2130
55	2638	2072
56	2681	2023
57	2712	1964
58	2731	1898
59	2774	1849
60	2829	1809
61	2851	1747
62	2879	1690
63	2916	1640
64	2951	1589
65	3003	1547
66	3048	1501
67	3092	1455
68	3137	1409
69	3182	1363
70	3241	1323
71	3281	1275
72	3319	1227
73	3367	1183
74	3413	1137
75	3458	1092
76	3504	1046
77	3553	1002
78	3590	954
79	3645	911
80	3696	867
81	3721	816
82	3764	771
83	3809	725
84	3832	676
85	3880	631
86	3928	586
87	3974	541
88	4022	497
89	4068	452
90	4114	406
91	4169	362
92	4257	320
93	4316	275
94	4367	229
95	4396	183
96	4441	137
97	4491	91
98	4520	45
99	4564	0
