iter	Logloss
0	0.5838917866
1	0.4997192882
2	0.4346843647
3	0.3866068196
4	0.3494792114
5	0.3217037844
6	0.3004763981
7	0.2843725372
8	0.2717826466
9	0.2624376509
10	0.2543240329
11	0.2478931712
12	0.2422934483
13	0.2378896824
14	0.2344735232
15	0.2317579827
16	0.2297133033
17	0.2281694233
18	0.2268635323
19	0.2257968691
20	0.2246652213
21	0.2238342891
22	0.2230695688
23	0.2225858901
24	0.2221499384
25	0.2216961768
26	0.2212884725
27	0.2209469216
28	0.2207499033
29	0.2204757236
30	0.2202990908
31	0.2201926492
32	0.2200523029
33	0.2199527606
34	0.219838963
35	0.2197586146
36	0.2196699825
37	0.2196350213
38	0.2195706419
39	0.2195307175
40	0.219492249
41	0.2194911121
42	0.2194348859
43	0.2193662185
44	0.2193463074
45	0.2193413167
46	0.2193154817
47	0.2192842028
48	0.2192608806
49	0.2191716469
50	0.2191661269
51	0.2191588987
52	0.2191510111
53	0.2191413014
54	0.2190906061
55	0.2190838177
56	0.2190753877
57	0.2190644529
58	0.2190468542
59	0.2190237098
60	0.219017895
61	0.2190178617
62	0.2189409616
63	0.2189174333
64	0.218913879
65	0.2189125173
66	0.2189069778
67	0.2189007615
68	0.2188960449
69	0.2188685693
70	0.2188490448
71	0.2188473521
72	0.2188357467
73	0.2188337746
74	0.2188189043
75	0.2187977207
76	0.2187869008
77	0.2187717282
78	0.2187655742
79	0.2187473317
80	0.2187294641
81	0.2186919401
82	0.2186903717
83	0.2186757593
84	0.2186718822
85	0.2186661737
86	0.2186632135
87	0.2186172042
88	0.2185872092
89	0.2185872092
90	0.2185871945
91	0.218584012
92	0.2185794302
93	0.2185793934
94	0.218576128
95	0.2185760978
96	0.2185708801
97	0.2185706754
98	0.2185579737
99	0.2185511073
