iter	Passed	Remaining
0	78	7723
1	142	6998
2	228	7388
3	287	6888
4	357	6791
5	402	6300
6	446	5937
7	492	5668
8	564	5704
9	629	5665
10	713	5769
11	807	5924
12	899	6017
13	993	6105
14	1089	6176
15	1174	6164
16	1267	6190
17	1343	6122
18	1406	5994
19	1501	6005
20	1602	6028
21	1724	6114
22	1851	6199
23	1934	6126
24	2013	6040
25	2101	5981
26	2179	5892
27	2259	5809
28	2345	5741
29	2479	5786
30	2560	5699
31	2653	5637
32	2742	5567
33	2851	5536
34	2948	5475
35	3039	5403
36	3115	5304
37	3190	5206
38	3269	5113
39	3336	5005
40	3443	4954
41	3510	4848
42	3596	4767
43	3672	4674
44	3750	4583
45	3826	4492
46	3906	4404
47	3999	4332
48	4087	4254
49	4163	4163
50	4234	4068
51	4311	3979
52	4375	3880
53	4452	3792
54	4526	3703
55	4606	3619
56	4671	3524
57	4747	3438
58	4843	3366
59	4926	3284
60	5005	3200
61	5070	3107
62	5162	3031
63	5247	2951
64	5318	2864
65	5383	2773
66	5452	2685
67	5501	2589
68	5571	2503
69	5644	2418
70	5716	2335
71	5789	2251
72	5872	2172
73	5921	2080
74	5994	1998
75	6071	1917
76	6145	1835
77	6219	1754
78	6277	1668
79	6361	1590
80	6446	1512
81	6524	1432
82	6581	1348
83	6655	1267
84	6744	1190
85	6818	1109
86	6886	1029
87	6962	949
88	7037	869
89	7073	785
90	7115	703
91	7195	625
92	7276	547
93	7323	467
94	7379	388
95	7423	309
96	7518	232
97	7593	154
98	7672	77
99	7747	0
