iter	Logloss
0	0.5816537708
1	0.4988022605
2	0.4359018174
3	0.3878505048
4	0.3509712054
5	0.323302932
6	0.3016095389
7	0.2853543705
8	0.2729232984
9	0.2637609241
10	0.2564912536
11	0.249977446
12	0.244083556
13	0.239907886
14	0.2366469446
15	0.2337869533
16	0.2317244653
17	0.2300222345
18	0.2285493572
19	0.2271951996
20	0.2260613222
21	0.2252231514
22	0.2245692558
23	0.2239227698
24	0.2236072719
25	0.2232433076
26	0.2229386219
27	0.2225875808
28	0.2223375991
29	0.2221286132
30	0.2219553347
31	0.2218015278
32	0.2216818195
33	0.2216112721
34	0.2215188715
35	0.2214001783
36	0.2213155805
37	0.221265724
38	0.2212144872
39	0.2211592636
40	0.2211225494
41	0.2210989181
42	0.2210809192
43	0.221023885
44	0.2209598931
45	0.2209276118
46	0.2209132616
47	0.220881962
48	0.2208467386
49	0.2207834822
50	0.2207650554
51	0.2207650462
52	0.2207650175
53	0.2207325266
54	0.2207323574
55	0.220732343
56	0.2207188714
57	0.2206579854
58	0.2206160664
59	0.2206021791
60	0.2205919464
61	0.2205589444
62	0.2205525975
63	0.2205190179
64	0.2205166001
65	0.220502502
66	0.2204199917
67	0.220375898
68	0.2203630235
69	0.2203602788
70	0.2203464411
71	0.2203434576
72	0.2203368252
73	0.2203337767
74	0.2203263376
75	0.2203235066
76	0.220297202
77	0.2202886829
78	0.2202632703
79	0.2202574043
80	0.2202485376
81	0.2202317967
82	0.2202090057
83	0.2202012932
84	0.2201355584
85	0.2201354406
86	0.2201271142
87	0.2201251181
88	0.220113924
89	0.220107149
90	0.2200349737
91	0.2200290072
92	0.2200219962
93	0.2200211442
94	0.2200002265
95	0.219993462
96	0.2199906443
97	0.2199769709
98	0.2199720952
99	0.2198539955
