iter	Passed	Remaining
0	46	4632
1	111	5468
2	150	4873
3	198	4762
4	225	4277
5	253	3966
6	297	3953
7	331	3814
8	385	3899
9	426	3838
10	514	4163
11	576	4227
12	613	4105
13	643	3953
14	676	3835
15	720	3784
16	779	3805
17	840	3827
18	893	3811
19	953	3812
20	1003	3773
21	1064	3774
22	1111	3722
23	1150	3642
24	1251	3753
25	1318	3753
26	1382	3736
27	1428	3672
28	1479	3621
29	1551	3619
30	1606	3575
31	1659	3526
32	1705	3462
33	1762	3421
34	1821	3382
35	1882	3346
36	1937	3299
37	1988	3244
38	2040	3191
39	2124	3186
40	2180	3137
41	2242	3096
42	2295	3043
43	2351	2992
44	2416	2953
45	2485	2918
46	2548	2874
47	2616	2834
48	2677	2786
49	2736	2736
50	2815	2705
51	2891	2669
52	2919	2588
53	3013	2566
54	3060	2504
55	3110	2444
56	3168	2390
57	3237	2344
58	3325	2310
59	3391	2260
60	3428	2192
61	3486	2136
62	3576	2100
63	3654	2055
64	3731	2009
65	3836	1976
66	3887	1914
67	3925	1847
68	3941	1770
69	3990	1710
70	4054	1656
71	4105	1596
72	4170	1542
73	4223	1483
74	4272	1424
75	4358	1376
76	4406	1316
77	4455	1256
78	4519	1201
79	4576	1144
80	4625	1084
81	4672	1025
82	4710	964
83	4751	905
84	4789	845
85	4860	791
86	4910	733
87	4963	676
88	5052	624
89	5079	564
90	5147	509
91	5192	451
92	5267	396
93	5305	338
94	5365	282
95	5414	225
96	5458	168
97	5507	112
98	5572	56
99	5636	0
