iter	Logloss
0	0.6354754509
1	0.5848825763
2	0.5404971414
3	0.501532111
4	0.4678408808
5	0.438190057
6	0.4118900122
7	0.3893449045
8	0.3692599592
9	0.3518808394
10	0.336397996
11	0.3231028367
12	0.3115963622
13	0.3014712294
14	0.2925557106
15	0.2847293493
16	0.2778456886
17	0.2720671212
18	0.2665602528
19	0.2616407565
20	0.2570305751
21	0.2528091027
22	0.2493309128
23	0.2462335843
24	0.2432302655
25	0.2405923952
26	0.2383457741
27	0.2363627912
28	0.2345914987
29	0.2328813437
30	0.2311950823
31	0.2299414782
32	0.2287426024
33	0.2277553839
34	0.2267462417
35	0.2259677956
36	0.2250952124
37	0.2244230731
38	0.2237508543
39	0.2231609276
40	0.2225777287
41	0.2221141734
42	0.2217452535
43	0.2213332292
44	0.2209964261
45	0.2206426425
46	0.2203075806
47	0.2200895483
48	0.2197810487
49	0.2195971327
50	0.2194077705
51	0.2192235139
52	0.2191217269
53	0.2189450665
54	0.2188438564
55	0.2187211784
56	0.2185884726
57	0.2184718
58	0.2183657915
59	0.2182470328
60	0.2181880372
61	0.2180690266
62	0.2180151797
63	0.2179278621
64	0.2178294867
65	0.2177761112
66	0.2177098271
67	0.2176701498
68	0.2176588514
69	0.217551663
70	0.2175065005
71	0.2174816053
72	0.2174309578
73	0.2173887853
74	0.217363191
75	0.2173333948
76	0.2172870487
77	0.2172181356
78	0.2171793734
79	0.2171159918
80	0.2170845548
81	0.2170615814
82	0.2170481034
83	0.2170275095
84	0.2170178878
85	0.2170117788
86	0.2169966788
87	0.2169669967
88	0.2169514551
89	0.2169456062
90	0.2169250029
91	0.2169149686
92	0.2168933906
93	0.2168773294
94	0.2168665999
95	0.2168361909
96	0.2168360295
97	0.2168027846
98	0.2167893245
99	0.2167630894
