iter	Passed	Remaining
0	61	6059
1	135	6615
2	186	6040
3	269	6474
4	375	7135
5	526	8247
6	621	8256
7	685	7888
8	759	7677
9	825	7430
10	885	7165
11	964	7070
12	1066	7139
13	1139	6999
14	1212	6871
15	1290	6775
16	1365	6664
17	1476	6725
18	1606	6849
19	1680	6720
20	1754	6600
21	1835	6508
22	1932	6470
23	2050	6493
24	2101	6303
25	2161	6151
26	2239	6055
27	2309	5939
28	2390	5851
29	2468	5759
30	2622	5838
31	2710	5760
32	2783	5651
33	2850	5532
34	2905	5396
35	2971	5283
36	3047	5189
37	3195	5213
38	3273	5119
39	3343	5015
40	3426	4931
41	3502	4836
42	3577	4741
43	3654	4651
44	3743	4575
45	3881	4557
46	3945	4448
47	4032	4368
48	4108	4275
49	4169	4169
50	4239	4073
51	4407	4068
52	4500	3990
53	4592	3912
54	4638	3794
55	4695	3689
56	4777	3604
57	4855	3516
58	4959	3446
59	5012	3341
60	5066	3239
61	5128	3143
62	5196	3052
63	5259	2958
64	5292	2849
65	5347	2754
66	5423	2671
67	5494	2585
68	5568	2501
69	5655	2423
70	5704	2330
71	5783	2249
72	5830	2156
73	5869	2062
74	5934	1978
75	6002	1895
76	6072	1813
77	6118	1725
78	6178	1642
79	6223	1555
80	6303	1478
81	6375	1399
82	6421	1315
83	6485	1235
84	6560	1157
85	6619	1077
86	6683	998
87	6758	921
88	6839	845
89	6904	767
90	6980	690
91	7056	613
92	7125	536
93	7192	459
94	7260	382
95	7359	306
96	7461	230
97	7581	154
98	7722	78
99	7840	0
