iter	Logloss
0	0.5832780159
1	0.4979591161
2	0.4341276815
3	0.3855014249
4	0.349178661
5	0.3210348486
6	0.2994876749
7	0.2835454593
8	0.2712034126
9	0.2620754379
10	0.2540218249
11	0.247641878
12	0.242413085
13	0.2383245552
14	0.2348472482
15	0.232336102
16	0.2302260029
17	0.2284305217
18	0.2267954795
19	0.2257511709
20	0.2247180632
21	0.2240904602
22	0.2232764661
23	0.2226235087
24	0.2223082181
25	0.2219547284
26	0.2216196762
27	0.2213026242
28	0.2210506977
29	0.22087308
30	0.2206848961
31	0.2205150681
32	0.2204050093
33	0.2202920986
34	0.2202323492
35	0.2201335364
36	0.2200626207
37	0.2200419164
38	0.2200154985
39	0.2200046934
40	0.2199706948
41	0.2199125524
42	0.2198428024
43	0.2198351976
44	0.2198247624
45	0.2198247043
46	0.2197856284
47	0.219762415
48	0.2197390562
49	0.2197390288
50	0.219738986
51	0.2197172267
52	0.2196927477
53	0.2196706305
54	0.2196703718
55	0.2196702664
56	0.2196232915
57	0.2195828413
58	0.2195551675
59	0.2195550414
60	0.2195550401
61	0.2195457406
62	0.2195144473
63	0.2195142843
64	0.2195142822
65	0.2195051001
66	0.2194694984
67	0.2194643865
68	0.2194643006
69	0.2194515825
70	0.2194515825
71	0.2194237521
72	0.2194237262
73	0.2194237007
74	0.2194185056
75	0.2193946491
76	0.2193648387
77	0.2193600438
78	0.2193600299
79	0.2193580052
80	0.2193553771
81	0.2193460493
82	0.2193434667
83	0.2193389598
84	0.2192926632
85	0.2192905059
86	0.2192764974
87	0.2192672792
88	0.2192577893
89	0.2192342435
90	0.2192283291
91	0.2192157929
92	0.2191939371
93	0.2191837418
94	0.2190604624
95	0.2190289624
96	0.2190207833
97	0.2190066063
98	0.2189970705
99	0.2189559896
